ex/em,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500
270,2340,990,1210,1570,2970,13950,44560,64670,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,4570,175390,1890,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
275,6000,2370,1230,1570,2970,13950,44560,64670,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
280,1310,10220,2520,2040,2970,13950,44560,64670,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
285,1520,3900,14910,7520,10800,13950,44560,64670,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
290,3450,6190,15510,31630,31160,41650,44560,64670,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
295,5120,9540,19900,44120,71200,77880,84800,64670,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
300,7600,14000,28820,53670,100200,124440,128500,97780,36540,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
305,9780,18180,36430,66290,108740,165710,165950,126730,47710,12220,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
310,11540,19630,40870,73890,120760,167020,202840,150630,56940,15010,5790,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
315,12730,22090,43540,81670,127840,174650,193020,181480,65400,18920,7680,5380,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
320,13840,24350,45790,79670,128820,174790,189690,166910,89970,22340,9710,6740,5470,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
325,14560,25350,46930,79120,123790,167390,184170,153780,86840,43320,13290,9330,6030,5600,7960,12650,14260,16030,18230,17030,14250,12490,11490,11510,12460,15380,19610,20110,16850,13770,12220,12140,12470,13110,13040,12750,11040,10130,9800,8930,9950,9210,9980,10970,10490,8520,8680,7300,6990,5680,5140
